latitud;longitud;nombre;;direccion
3.8875;-76.29439;VALLE MOTOS S.A;;Carrera 8 No. 6-92
4.4132;-76.15198;VALLE MOTOS S.A;;Calle 9A No. 2-02
4.09042;-76.2092;VALLE MOTOS S.A;;Carrera 30 No. 19-26
4.08927;-76.19209;VALLE MOTOS S.A;;Carrera 30 No. 19-52
4.09063;-76.20937;VALLE MOTOS S.A;;Carrera 27 No. 26-20
3.88683;-76.29533;VALLE MOTOS S.A;;Carrera 8 No. 6-16
4.08831;-76.20591;SUKY MOTO S.A.;;Calle 27 No. 26-15
4.08927;-76.19209;SUKY MOTO S.A.;;Carrera 30 No. 19-66
4.08164;-76.19672;SUKY MOTO S.A.;;Calle 26 Carrera 27 Esquina.
3.43402;-76.52645;VERIFICARTE;;Avenida 3N No. 40-238
3.47591;-76.51817;COLEGAS;;Avenida 3N No. 40-248
3.43675;-76.47225;VERIFICARTE;;Calle 81C No. 23A-84
3.40409;-76.5132;SIMOTOS S.A.S.;;Carrera 46 No. 44-46
3.40829;-76.34813;ELECTRA MOTORS S.A.S.;;Carrera 8 No. 7-93
3.53594;-76.30275;SUKIMOTO S.A.;;Carrera 28 No. 33-38
4.0833;-76.19335;YAMASPORT S.A.;;Calle 27 Carrera 32 Esquina
3.89657;-76.29796;YAMASPORT S.A.;;Carrera 9 No. 14-37
3.44648;-76.49034;YAMOTOS S.A.S.;;Calle 70 No. 12 Bis-06
3.47683;-76.48476;GRUPO UMA BAJAJ ;;Carrera 1 # 21 - 49
4.39761;-76.07099;SUKY MOTO S.A.;;Carrera 11 No. 8-50
3.40635;-76.55579;ZAGAMOTOS DEL PACIFICO S.A.S.;;Calle 70N No. 4A-03 Esquina Local 1
4.08038;-76.19486;SUKY MOTO S.A.;;Carrera 30 No. 20-24
3.47841;-76.48081;GRUPO UMA CARRERA 1;;Carrera 1 No. 21-54
3.47648;-76.49556;GRUPO SUPERMOTOS S.A.S.;;Carrera 1 No. 22-21
3.53097;-76.29848;GRUPO SUPERMOTOS S.A.S.;;Carrera 28 No. 33-83
3.0075;-76.4811;ELECTROJAPONESA S.A. - CO 202;;Calle 6 No. 12-77
3.58255;-76.50152;ELECTROJAPONESA S.A. - CO 203;;Carrera 4 No. 6-01
3.52747;-76.30429;GRUPO SUPERMOTOS S.A.S.;;Carrera 33A No. 29-66 Esquina
3.44258;-76.53169;GRUPO SUPERMOTOS S.A.S.;;Carrera 15 No. 10-17
3.58256;-76.48811;GRUPO SUPERMOTOS S.A.S.;;Carrera 4 # 12 - 30
3.58258;-76.48821;MOTO YUMBO SUZUKI;;Carrera 4 No. 14-02
3.52806;-76.30451;SUMOTO S.A.;;Carrera 33A No. 30-23
3.52822;-76.3045;SUMOTO S.A.;;Carrera 33A No. 30-36
3.58284;-76.48813;MOTOAMIGA;;Carrera 4 No. 13-19
3.58267;-76.48875;SUMOTO S.A.;;Carrera 4 No. 13-24
3.58795;-76.49145;TULUA MOTOS S.A.;;Carrera 3 No. 9-37
3.58354;-76.49813;YAMOTOS S.A.S.;;Carrera 4 # 1 - 99
3.43416;-76.52661;SIMOTOS S.A.S. - BODEGA;;Carrera 23 # 23e bis - 47
3.48453;-76.51443;MAZZA STORE MOTORS S.A.S.;;Avenida 3 norte # 40 - 48
3.48994;-76.49863;ZAGAMOTOS DEL PACIFICO S.A.S.;;CALLE 70 # 4-71
3.45317;-76.51137;GRUPO SUPERMOTOS S.A.S.;;Carrera 8 No. 34-03
4.3965;-76.07057;SUKY MOTO S.A.;;Carrera 10 No. 6-37
3.52603;-76.29667;ELECTROJAPONESA - ELECTROMUEBLES;;Carrera 25# 29-41
3.52533;-76.29852;MOTORED DE COLOMBIA S.A.S.;;Calle 28 No. 27 - 18
3.26398;-76.5337;TURBOMOTOS;;Carrera 51a sur 10f - 15
3.00784;-76.48552;GRUPO SUPERMOTOS S.A.S.;;Carrera 12A # 5  - 54
3.0194;-76.482;ZAGAMOTOS DEL PACIFICO S.A.S.;;Carrera 13 # 7 - 58
3.47676;-76.4988;DISMERCA ;;CARRERA 1 # 22-13
4.74957;-75.91696;SUKY MOTO S.A.;;CALLE 15 # 3-93
3.46884;-76.50103;COONDOR MOBILITY CC CALI;;CALLE 52 # 1B - 160
3.39303;-76.5553;ARISTIZABAL MOTOS S.A.S;;CARRERA 70 1A-61
3.32215;-76.23417;MOTORBIKE;;CR 16 # 9-38
3.57981;-76.49786;ALMACEN DEL GAS - OFICINA;;Calle 13A # 27A - 133 BODEGA 4 BLOQUE 2A
4.53269;-76.10463;ALMACEN DEL GAS - ALMACENES DIMO;;CL 15 # 16 -69
4.41223;-76.15549;ALMACEN DEL GAS - ALMACENES DIMO;;CL 6 # 5 -62
